"Waterbody","IslandGroup","Island"
"North Atlantic Ocean","Sotavento Islands","Fogo"
"North Atlantic Ocean","Sotavento Islands","Santiago"
"North Atlantic Ocean","Turks Islands","Grand Turk"
"North Bay",,"Goose"
"North Pacific Ocean",,"Alexander"
"North Pacific Ocean",,"Asunción"
"North Pacific Ocean",,"Bear"
"North Pacific Ocean",,"Bodelteh"
"North Pacific Ocean",,"Carrol"
"North Pacific Ocean",,"Castle"
"North Pacific Ocean",,"Cerralvo"
"North Pacific Ocean",,"Clipperton"
"North Pacific Ocean",,"Coronado"
"North Pacific Ocean",,"Cortes Bank"
"North Pacific Ocean",,"Destruction"
"North Pacific Ocean",,"Forrester"
"North Pacific Ocean",,"Fox"
"North Pacific Ocean",,"Gorgona"
"North Pacific Ocean",,"Guadalupe"
"North Pacific Ocean",,"Guadelupe"
"North Pacific Ocean",,"Hope"
"North Pacific Ocean",,"Isabel"
"North Pacific Ocean",,"Isabela"
"North Pacific Ocean",,"Isla del Coco"
"North Pacific Ocean",,"James"
"North Pacific Ocean",,"Kains"
"North Pacific Ocean",,"Magdalena"
"North Pacific Ocean",,"Malpelo"
"North Pacific Ocean",,"Midun"
"North Pacific Ocean",,"Natividad"
"North Pacific Ocean",,"Ozette"
"North Pacific Ocean",,"Sakhalin"
"North Pacific Ocean",,"San Geronimo"
"North Pacific Ocean",,"San Martín"
"North Pacific Ocean",,"San Roque"
"North Pacific Ocean",,"Santa Margarita"
"North Pacific Ocean",,"Taiwan"
"North Pacific Ocean",,"Tatoosh"
"North Pacific Ocean",,"Triangle"
"North Pacific Ocean",,"Ugaiushak"
"North Pacific Ocean",,"Vancouver"
"North Pacific Ocean",,"Vargas"
"North Pacific Ocean",,"Wake"
"North Pacific Ocean",,"Wickaninnish"
"North Pacific Ocean","Ailinglaplap Atoll","Bock"
"North Pacific Ocean","Aleutian Islands","Amak"
"North Pacific Ocean","Aleutian Islands","Amlia"
"North Pacific Ocean","Aleutian Islands","Buldir"
"North Pacific Ocean","Aleutian Islands","Deer"
"North Pacific Ocean","Aleutian Islands","Poperechnoi"
"North Pacific Ocean","Aleutian Islands","Unimak"
"North Pacific Ocean","Alexander Archipelago","Admiralty"
"North Pacific Ocean","Alexander Archipelago","Baranof"
"North Pacific Ocean","Alexander Archipelago","Canyon"
"North Pacific Ocean","Alexander Archipelago","Chichagof"
"North Pacific Ocean","Alexander Archipelago","Coronation"
"North Pacific Ocean","Alexander Archipelago","Dall"
"North Pacific Ocean","Alexander Archipelago","Douglas"
"North Pacific Ocean","Alexander Archipelago","Etolin"
"North Pacific Ocean","Alexander Archipelago","Inian"
"North Pacific Ocean","Alexander Archipelago","Kosciusko"
"North Pacific Ocean","Alexander Archipelago","Kruzof"
"North Pacific Ocean","Alexander Archipelago","Kuiu"
"North Pacific Ocean","Alexander Archipelago","Kupreanof"
"North Pacific Ocean","Alexander Archipelago","Mitkof"
"North Pacific Ocean","Alexander Archipelago","Naked Island"
"North Pacific Ocean","Alexander Archipelago","Prince of Wales"
"North Pacific Ocean","Alexander Archipelago","Revillagigedo"
"North Pacific Ocean","Alexander Archipelago","Saint Lazaria"
"North Pacific Ocean","Alexander Archipelago","Wrangell"
"North Pacific Ocean","Alexander Archipelago","Yakobi"
"North Pacific Ocean","Andreanof Islands","Adak"
"North Pacific Ocean","Andreanof Islands","Atka"
"North Pacific Ocean","Barren Islands","East Amatuli"
"North Pacific Ocean","Barren Islands","West Amatuli"
"North Pacific Ocean","Bolkus Islands","Main Bolkus Island"
"North Pacific Ocean","Caroline Islands","Angaur"
"North Pacific Ocean","Caroline Islands","Auluptagel"
"North Pacific Ocean","Caroline Islands","Chuuk Atoll"
"North Pacific Ocean","Caroline Islands","Koror"
"North Pacific Ocean","Caroline Islands","Kosrae"
"North Pacific Ocean","Caroline Islands","Sanryo"
"North Pacific Ocean","Channel Islands","Anacapa"
"North Pacific Ocean","Channel Islands","San Clemente"
"North Pacific Ocean","Channel Islands","San Miguel"
"North Pacific Ocean","Channel Islands","San Nicolas"
"North Pacific Ocean","Channel Islands","Santa Barbara"
"North Pacific Ocean","Channel Islands","Santa Catalina"
"North Pacific Ocean","Channel Islands","Santa Cruz"
"North Pacific Ocean","Channel Islands","Santa Rosa"
"North Pacific Ocean","Commander Islands","Bering"
"North Pacific Ocean","Commander Islands","Bering Island"
"North Pacific Ocean","Enewetak Atoll","Jinimi"
"North Pacific Ocean","Enewetak Atoll","Parry"
"North Pacific Ocean","Farallon Islands","Southeast Farallon"
"North Pacific Ocean","Fox Islands","Akatun"
"North Pacific Ocean","Fox Islands","Akun"
"North Pacific Ocean","Fox Islands","Bogoslof"
"North Pacific Ocean","Fox Islands","Egg & Sedanka Islands"
"North Pacific Ocean","Fox Islands","Sanak"
"North Pacific Ocean","Fox Islands","Umnak"
"North Pacific Ocean","Fox Islands","Unalaska"
"North Pacific Ocean","French Frigate Shoals","East Island"
"North Pacific Ocean","French Frigate Shoals","Little Gin"
"North Pacific Ocean","French Frigate Shoals","Tern"
"North Pacific Ocean","French Frigate Shoals","Tern Island"
"North Pacific Ocean","Haida Gwaii","Charlotte"
"North Pacific Ocean","Haida Gwaii","Chatham"
"North Pacific Ocean","Haida Gwaii","Cox"
"North Pacific Ocean","Haida Gwaii","East Copper"
"North Pacific Ocean","Haida Gwaii","Frederick"
"North Pacific Ocean","Haida Gwaii","George"
"North Pacific Ocean","Haida Gwaii","Graham"
"North Pacific Ocean","Haida Gwaii","Green"
"North Pacific Ocean","Haida Gwaii","Gribbell"
"North Pacific Ocean","Haida Gwaii","Harrison"
"North Pacific Ocean","Haida Gwaii","Hibben"
"North Pacific Ocean","Haida Gwaii","Hippa"
"North Pacific Ocean","Haida Gwaii","Hotspring"
"North Pacific Ocean","Haida Gwaii","Kunga"
"North Pacific Ocean","Haida Gwaii","Kunghit"
"North Pacific Ocean","Haida Gwaii","Langara"
"North Pacific Ocean","Haida Gwaii","Legace"
"North Pacific Ocean","Haida Gwaii","Lina"
"North Pacific Ocean","Haida Gwaii","Louise"
"North Pacific Ocean","Haida Gwaii","Lyell"
"North Pacific Ocean","Haida Gwaii","Mackenzie"
"North Pacific Ocean","Haida Gwaii","Moresby"
"North Pacific Ocean","Haida Gwaii","Morseby"
"North Pacific Ocean","Haida Gwaii","Ogilvie"
"North Pacific Ocean","Haida Gwaii","Ramsay"
"North Pacific Ocean","Haida Gwaii","Rankine"
"North Pacific Ocean","Haida Gwaii","Reef"
"North Pacific Ocean","Haida Gwaii","Talunkwan"
"North Pacific Ocean","Haida Gwaii","Tanu"
"North Pacific Ocean","Haida Gwaii","Wathus"
"North Pacific Ocean","Hall Islands","Nomwin Atoll"
"North Pacific Ocean","Hawaiian Islands","East Island"
"North Pacific Ocean","Hawaiian Islands","Hawaii"
"North Pacific Ocean","Hawaiian Islands","Kauai"
"North Pacific Ocean","Hawaiian Islands","Ka'ula Rock"
"North Pacific Ocean","Hawaiian Islands","Lanai"
"North Pacific Ocean","Hawaiian Islands","Mānana"
"North Pacific Ocean","Hawaiian Islands","Maui"
"North Pacific Ocean","Hawaiian Islands","Molokai"
"North Pacific Ocean","Hawaiian Islands","Na Mokulua"
"North Pacific Ocean","Hawaiian Islands","Oahu"
"North Pacific Ocean","Hawaiian Islands","Sand"
"North Pacific Ocean","Islands of Four Mountains","Chagulak"
"North Pacific Ocean","Islands of Four Mountains","Chuginadak"
"North Pacific Ocean","Islands of Four Mountains","Kagamil"
"North Pacific Ocean","Islands of Four Mountains","Yunaska"
"North Pacific Ocean","Islas Magdalenas","Grosse"
"North Pacific Ocean","Islas Marías","Maria Cleofas"
"North Pacific Ocean","Islas Marías","María Cleofas"
"North Pacific Ocean","Islas Marías","María Madre"
"North Pacific Ocean","Islas Marías","María Magdalena"
"North Pacific Ocean","Islas Marías","San Juanito"
"North Pacific Ocean","Islas Revillagigedo","Clarión"
"North Pacific Ocean","Islas Revillagigedo","Roca Partida"
"North Pacific Ocean","Islas Revillagigedo","San Benedicto"
"North Pacific Ocean","Islas Revillagigedo","Socorro"
"North Pacific Ocean","Islas San Benito","Benito del Centro"
"North Pacific Ocean","Johnston Atoll","East Island"
"North Pacific Ocean","Johnston Atoll","Johnston"
"North Pacific Ocean","Johnston Atoll","North Island"
"North Pacific Ocean","Johnston Atoll","Sand"
"North Pacific Ocean","Kodiak Archipelago","Whale"
"North Pacific Ocean","Krenitzin Islands","Aiktak"
"North Pacific Ocean","Krenitzin Islands","Avatanak"
"North Pacific Ocean","Kure Atoll","Green Island"
"North Pacific Ocean","Line Islands","Caroline"
"North Pacific Ocean","Line Islands","Christmas Island"
"North Pacific Ocean","Line Islands","Fanning Island"
"North Pacific Ocean","Line Islands","Palmyra"
"North Pacific Ocean","Line Islands","Teraina"
"North Pacific Ocean","Marianas","Guam"
"North Pacific Ocean","Marianas","Saipan"
"North Pacific Ocean","Marianas","Tinian"
"North Pacific Ocean","Marianas","Verrados"
"North Pacific Ocean","Marshall Islands","Kio"
"North Pacific Ocean","Midway Atoll","Eastern Island"
"North Pacific Ocean","Midway Atoll","Midway"
"North Pacific Ocean","Midway Atoll","Sand"
"North Pacific Ocean","Near Islands","Agattu"
"North Pacific Ocean","Near Islands","Attu"
"North Pacific Ocean","Northern Nomoneas Islands","Chuuk Atoll"
"North Pacific Ocean","Northwestern Hawaiian Islands","Laysan"
"North Pacific Ocean","Northwestern Hawaiian Islands","Lisianski"
"North Pacific Ocean","Northwestern Hawaiian Islands","Necker"
"North Pacific Ocean","Northwestern Hawaiian Islands","Nihoa"
"North Pacific Ocean","Phoenix Islands","Baker"
"North Pacific Ocean","Phoenix Islands","Howland"
"North Pacific Ocean","Ralik Chain","Enewetak Atoll"
"North Pacific Ocean","Rat Islands","Amchitka"
"North Pacific Ocean","Rat Islands","Kiska"
"North Pacific Ocean","Rat Islands","Little Kiska"
"North Pacific Ocean","Rat Islands","Segula"
"North Pacific Ocean","Scott Islands","Lanz"
"North Pacific Ocean","Senyavin Islands","Pohnpei"
"North Pacific Ocean","Shumagin Islands","Big Koninski"
"North Pacific Ocean","Shumagin Islands","Big Koniuji"
"North Pacific Ocean","Shumagin Islands","Nagai"
"North Pacific Ocean","Shumagin Islands","Popof"
"North Pacific Ocean","Shumagin Islands","Unga"
"North Pacific Ocean","South Farallon Islands","South Farallon"
"North Pacific Ocean","Southern Nomoneas Islands","Chuuk Atoll"
"North Sea","British Isles","Fair Isle"
"North Sea","Farne Islands","Farne Island"
"North Sea","Frisian Islands","Texel"
"North Sea","Frisian Islands","Vlieland"
"North Sea","Orkney Islands","Erie"
"North Sea","Orkney Islands","Hoy"
"North Sea","Orkney Islands","Mainland"
"North Sea","Shetland Islands","Fair Isle"
"North Sea","Shetland Islands","Mainland"
"North Sea","Shetland Islands","Yell"
"North Sea","West Frisian Islands","Schiermonnikoog"
"North Sea","West Frisian Islands","Texel"
"Northwest Passages",,"Jenny Lind"
"Norwegian Sea","Faroe Islands","Suðuroy"
"Nuka Bay",,"Nuka"
"Pacific Ocean",,"Isla de la Plata"
"Pacific Ocean","Archipiélago de Galápagos","Baltra"
"Pacific Ocean","Archipiélago de Galápagos","Bartolomé"
"Pacific Ocean","Archipiélago de Galápagos","Corona del Diablo"
"Pacific Ocean","Archipiélago de Galápagos","Daphne Mayor"
"Pacific Ocean","Archipiélago de Galápagos","Darwin"
"Pacific Ocean","Archipiélago de Galápagos","Española"
"Pacific Ocean","Archipiélago de Galápagos","Fernandina"
"Pacific Ocean","Archipiélago de Galápagos","Floreana"
"Pacific Ocean","Archipiélago de Galápagos","Genovesa"
"Pacific Ocean","Archipiélago de Galápagos","Guy Fawkes"
"Pacific Ocean","Archipiélago de Galápagos","Isabela"
"Pacific Ocean","Archipiélago de Galápagos","Marchena"
"Pacific Ocean","Archipiélago de Galápagos","Pinta"
"Pacific Ocean","Archipiélago de Galápagos","Pinzón"
"Pacific Ocean","Archipiélago de Galápagos","Plaza Norte"
"Pacific Ocean","Archipiélago de Galápagos","Plaza Sur"
"Pacific Ocean","Archipiélago de Galápagos","Rábida"
"Pacific Ocean","Archipiélago de Galápagos","San Cristóbal"
"Pacific Ocean","Archipiélago de Galápagos","Santa Cruz"
"Pacific Ocean","Archipiélago de Galápagos","Santa Fe"
"Pacific Ocean","Archipiélago de Galápagos","Santa Fé"
"Pacific Ocean","Archipiélago de Galápagos","Santiago"
"Pacific Ocean","Archipiélago de Galápagos","Seymour Norte"
"Pacific Ocean","Archipiélago de Galápagos","Wolf"
"Pacific Ocean","Japanese Archipelago","Honshu"
"Pacific Ocean","Japanese Archipelago","Shikoku"
"Payer's Harbor","Canadian Arctic Archipelago","Brevoort"
"Penobscot Bay",,"Isle au Haut"
"Portage Bay","Shumagin Islands","Popof"
"Possession Bay","South Georgia Islands","South Georgia"
"Possession Sound",,"Camano"
"Potomac River",,"Plummer's Island"
"Prince William Sound",,"Applegate"
"Prince William Sound",,"Crafton"
"Prince William Sound",,"Eleanor"
"Prince William Sound",,"Esther"
"Prince William Sound",,"Ingot"
"Prince William Sound",,"Knight"
"Prince William Sound",,"Knight (Snag Island)"
"Prince William Sound",,"Little Smith"
"Prince William Sound",,"Perry"
"Prince William Sound",,"Seal"
"Puget Sound",,"Anderson"
"Puget Sound",,"Bainbridge"
"Puget Sound",,"Fox Island"
"Puget Sound",,"Harbor"
"Puget Sound",,"Indian"
"Puget Sound",,"Marrowstone"
"Puget Sound",,"Maury"
"Puget Sound",,"Vashon"
"Puget Sound",,"Whidbey"
"Puget Sound","San Juan Islands","Lummi"
"Queen Charlotte Sound",,"Hunter"
"Queen Charlotte Sound",,"Spider"
"Queen Charlotte Sound",,"Table"
"Queen Charlotte Sound","Bardswell Group","Dufferin"
"Queen Charlotte Sound","Bardswell Group","Wurtele"
"Red Sea",,"Gezira Tawila"
"Riddell's Bay","Bermuda","Main Island"
"Río Ebro",,"Isla de Buda"
"Río Grande","Archipiélago de Chiloé","Isla Grande de Chiloé"
"Río Hanabana",,"Cuba"
"Río Huelde","Archipiélago de Chiloé","Isla Grande de Chiloé"
"Río Magdalena",,"Isla de Salamanca"
"Ross Sea","Ross Archipelago","Beaufort"
"Ross Sea","Ross Archipelago","Ross"
"Sabine Lake",,"Pleasure"
"Saco Bay",,"Stratton"
"Saco Bay",,"Stratton Island"
"Saginaw Bay",,"Charity"
"Saint Lawrence River",,"Belle Island"
"Saint Lawrence River",,"Douglas Island"
"Saint Lawrence River",,"Florence Island"
"Saint Lawrence River",,"Harbor Island"
"Saint Lawrence River",,"Ironsides Island"
"Saint Lawrence River",,"Iroquois Island"
"Saint Lawrence River",,"Kipp Island"
"Saint Lawrence River",,"Welcome Island"
"Saint Lawrence River",,"Wellesley Island"
"Saint Lawrence River",,"Whiskey Island"
"Saint Lawrence River","Hochelaga Archipelago","Île de Montréal"
"Salish Sea",,"Buck"
"Salish Sea",,"Camano"
"Salish Sea",,"Cypress"
"Salish Sea",,"Fir"
"Salish Sea",,"Guemes"
"Salish Sea",,"Harstene"
"Salish Sea",,"Hope"
"Salish Sea",,"Mercer"
"Salish Sea",,"Protection"
"Salish Sea",,"Reef"
"Salish Sea",,"Samish"
"Salish Sea",,"San Juan Island"
"Salish Sea",,"Sinclair"
"Salish Sea",,"Smith"
"Salish Sea",,"Viti Rocks"
"Salish Sea",,"Whidbey"
"Salish Sea","San Juan Islands","Bare"
"Salish Sea","San Juan Islands","Colville"
"Salish Sea","San Juan Islands","Flattop"
"Salish Sea","San Juan Islands","Flower"
"Salish Sea","San Juan Islands","Goose"
"Salish Sea","San Juan Islands","Gull Rock"
"Salish Sea","San Juan Islands","Johns"
"Salish Sea","San Juan Islands","Low"
"Salish Sea","San Juan Islands","San Juan"
"Salish Sea","San Juan Islands","Sentinel"
"Salish Sea","San Juan Islands","Skipjack"
"Salish Sea","San Juan Islands","Stuart"
"Salish Sea","San Juan Islands","Sucia"
"Samish Bay",,"Samish"
"San Francisco Bay",,"Bay Farm"
"San Francisco Bay",,"Sheep"
"Sandwich Bay",,"Cartwright"
"Sea of Okhotsk","Kurile Islands","Iturup"
"Sechart Channel",,"Vancouver"
"Shelkikof Strait","Kodiak Archipelago","Kodiak"
"Shelter Island Sound",,"Shelter"
"Smith Sound",,"Littleton"
"Snake River",,"Nielson"
"Snake River",,"Penawawa"
"Snohomish River",,"Spencer"
"South Atlantic Ocean",,"Ascencion"
"South Atlantic Ocean",,"Ascension"
"South Atlantic Ocean",,"Saint Helana"
"South Atlantic Ocean",,"Saint Helena"
"South Atlantic Ocean",,"Shark Island"
"South Atlantic Ocean","Arquipélago de Trindade e Martim Vaz","Trinidade"
"South Atlantic Ocean","Arquipélago Fernando de Noronha","Booby"
"South Atlantic Ocean","Arquipélago Trindade e Martim Vaz","Ilha de Trindade"
"South Atlantic Ocean","Falkland Islands","Coffin Island"
"South Atlantic Ocean","Falkland Islands","East Falkland"
"South Atlantic Ocean","Falkland Islands","Kidney Island"
"South Atlantic Ocean","Falkland Islands","New Island"
"South Atlantic Ocean","Falkland Islands","Pebble Island"
"South Atlantic Ocean","Falkland Islands","South Jason"
"South Atlantic Ocean","Falkland Islands","Weddell Island"
"South Atlantic Ocean","Falkland Islands","West Falkland"
"South Atlantic Ocean","Ilhabela","São Sebastião"
"South Atlantic Ocean","Jason Islands","Steeple Jason"
"South Atlantic Ocean","South Georgia Islands","Annenkov"
"South Atlantic Ocean","South Georgia Islands","Bird Island"
"South Atlantic Ocean","South Georgia Islands","South Georgia"
"South Atlantic Ocean","Tristan da Cunha Islands","Gough"
"South Atlantic Ocean","Tristan da Cunha Islands","Inaccessible Island"
"South Atlantic Ocean","Tristan da Cunha Islands","Inacessible Island"
"South Atlantic Ocean","Tristan da Cunha Islands","Nightingale"
"South China Sea",,"Tioman"
"South China Sea","Greater Sunda Islands","Borneo"
"South China Sea","Greater Sunda Islands","Java"
"South China Sea","Greater Sunda Islands","Labuan"
"South China Sea","Greater Sunda Islands","Muara"
"South China Sea","Indonesian Archipelago","Borneo"
"South Pacific Ocean",,"Broughton Island"
"South Pacific Ocean",,"Chañaral"
"South Pacific Ocean",,"Gorgona"
"South Pacific Ocean",,"Isla de Pascua"
"South Pacific Ocean",,"Islet S of Noumea"
"South Pacific Ocean",,"Lobos de Tierra"
"South Pacific Ocean",,"Macquarie"
"South Pacific Ocean",,"Macquarrie"
"South Pacific Ocean",,"Malpelo"
"South Pacific Ocean",,"Mocha"
"South Pacific Ocean",,"Nauru"
"South Pacific Ocean",,"Niue"
"South Pacific Ocean",,"Norfolk"
"South Pacific Ocean",,"North Island"
"South Pacific Ocean",,"Pupuya"
"South Pacific Ocean",,"San Gallán"
"South Pacific Ocean",,"South Island"
"South Pacific Ocean","Admiralty Islands","Manus"
"South Pacific Ocean","Aleipata Islands","Nu'ulua"
"South Pacific Ocean","Archipiélago de Chiloé","Isla Grande de Chiloé"
"South Pacific Ocean","Archipiélago de las Guaitecas","Elvira"
"South Pacific Ocean","Archipiélago de Tierra del Fuego","Isla de Hornos"
"South Pacific Ocean","Archipiélago de Tierra del Fuego","Navarino"
"South Pacific Ocean","Archipiélago de Tierra del Fuego","Noir"
"South Pacific Ocean","Archipiélago Juan Fernández","Alejandro Selkirk"
"South Pacific Ocean","Archipiélago Juan Fernández","Robinson Crusoe"
"South Pacific Ocean","Archipiélago Juan Fernández","Santa Clara"
"South Pacific Ocean","Chatham Islands","Chatham"
"South Pacific Ocean","Chincha","Norte Chincha"
"South Pacific Ocean","Cook Islands","Mangaia"
"South Pacific Ocean","Cook Islands","Suwarrow"
"South Pacific Ocean","Fiji","Vanua Levu"
"South Pacific Ocean","Great Barrier Reef","Heron Island"
"South Pacific Ocean","Great Barrier Reef","Lloyds"
"South Pacific Ocean","Hoorn Islands","Futuna"
"South Pacific Ocean","Islas Desventuradas","San Ambrosio"
"South Pacific Ocean","Kadavu","Kadavu"
"South Pacific Ocean","Kadavu Group","Kadavu"
"South Pacific Ocean","Lau Archipelago","Fulaga"
"South Pacific Ocean","Lau Archipelago","Mago"
"South Pacific Ocean","Lau Archipelago","Ogea Levu"
"South Pacific Ocean","Lau Archipelago","Olorua"
"South Pacific Ocean","Lau Archipelago","Ono-i-Lau"
"South Pacific Ocean","Lau Archipelago","Tavunasithi"
"South Pacific Ocean","Lau Archipelago","Vatoa"
"South Pacific Ocean","Lau Archipelago","Wangava"
"South Pacific Ocean","Lomaiviti Archipelago","Koro"
"South Pacific Ocean","Lomaiviti Archipelago","Ovalau"
"South Pacific Ocean","Loyalty Islands","Lifou"
"South Pacific Ocean","Loyalty Islands","Mare"
"South Pacific Ocean","Loyalty Islands","Ouvéa"
"South Pacific Ocean","Mamanuca Islands","Kadavulailai"
"South Pacific Ocean","Mamanuca Islands","Yanuya"
"South Pacific Ocean","Manu'a Islands","Ofu"
"South Pacific Ocean","Manu'a Islands","Ta'u"
"South Pacific Ocean","Marquesas Islands","Ua Huka"
"South Pacific Ocean","Marquesas Islands","Ua Pau"
"South Pacific Ocean","Moala Islands","Moala"
"South Pacific Ocean","New Caledonia","Balabio"
"South Pacific Ocean","New Caledonia","Grand Terre"
"South Pacific Ocean","New Caledonia","Neba"
"South Pacific Ocean","Nggela Islands","Little Florida Island"
"South Pacific Ocean","Nggela Islands","Nggela Sule"
"South Pacific Ocean","Paumotus","Henderson"
"South Pacific Ocean","Pitcairn Islands","Ducie"
"South Pacific Ocean","Pitcairn Islands","Henderson"
"South Pacific Ocean","Pitcairn Islands","Oeno"
"South Pacific Ocean","Pitcairn Islands","Pitcairn"
"South Pacific Ocean","Rennell Islands","Rennell"
"South Pacific Ocean","Ringgold Isles","Nanuku Levu"
"South Pacific Ocean","Rotuma","Rotuma"
"South Pacific Ocean","Russell Islands","Hoi"
"South Pacific Ocean","Samoan Islands","Aunu'u"
"South Pacific Ocean","Samoan Islands","Nu'ulua"
"South Pacific Ocean","Samoan Islands","Rose Atoll"
"South Pacific Ocean","Samoan Islands","Savai'i"
"South Pacific Ocean","Samoan Islands","Ta‘ū"
"South Pacific Ocean","Samoan Islands","Tutuila"
"South Pacific Ocean","Samoan Islands","Upolu"
"South Pacific Ocean","Santa Cruz Islands","Vanikoro"
"South Pacific Ocean","Solomon Islands","Bougainville Island"
"South Pacific Ocean","Solomon Islands","Guadalcanal"
"South Pacific Ocean","Solomon Islands","Makira"
"South Pacific Ocean","Solomon Islands","New Georgia"
"South Pacific Ocean","Tasmania","Tasmania"
"South Pacific Ocean","Tonga Islands","Haareva Island"
"South Pacific Ocean","Tonga Islands","Tokū"
"South Pacific Ocean","Tuamotus","Tepoto"
"South Pacific Ocean","Tuamotus","Vanavana"
"South Pacific Ocean","Vanuatu","Efate"
"South Pacific Ocean","Vanuatu","Paama"
"South Pacific Ocean","Viti Levu","Viti Levu"
"South Pacific Ocean","Wallis Islands","Wallis"
"Southern Ocean",,"Anvers"
"Southern Ocean",,"Petermann Island"
"Southern Ocean","Archipel des Kerguelen","Kerguelen"
"Southern Ocean","Îles Crozet","Île de la Possession"
"Southern Ocean","Palmer Archipelago","Trinity"
"Southern Ocean","South Orkney Islands","Signy"
"Southern Ocean","South Orkney Islands","South Orkney"
"Southern Ocean","South Shetland Islands","Deception"
"Southern Ocean","South Shetland Islands","Deception Island"
"Southern Ocean","South Shetland Islands","Greenwich"
"Southern Ocean","South Shetland Islands","King George"
"Southern Ocean","South Shetland Islands","Nelson"
"Southern Ocean","South Shetland Islands","Roberts"
"Southern Ocean","South Shetland Islands","Smith"
"Southern Ocean","South Shetland Islands","South Shetland"
"Stag Bay","Alexander Archipelago","Chicagof"
"Stag Bay","Alexander Archipelago","Chichagof"
"Strait of Georgia",,"Balaklava"
"Strait of Georgia",,"Bowen"
"Strait of Georgia",,"Bramham"
"Strait of Georgia",,"Duncan"
"Strait of Georgia",,"Gambier"
"Strait of Georgia",,"Hope"
"Strait of Georgia",,"Hornby"
"Strait of Georgia",,"Hurst"
"Strait of Georgia",,"Mandarte"
"Strait of Georgia",,"Passage"
"Strait of Georgia",,"Savary"
"Strait of Georgia",,"Sea Island"
"Strait of Georgia",,"Texada"
"Strait of Georgia",,"Vancouver"
"Strait of Georgia",,"Vansittart"
"Strait of Georgia","Discovery Islands","Cortes"
"Strait of Georgia","Gordon Islands","Doyle"
"Strait of Georgia","Gulf Islands","Sydney"
"Strait of Georgia","Southern Gulf Islands","Galiano"
"Strait of Georgia","Southern Gulf Islands","Mayne Island"
"Strait of Georgia","Southern Gulf Islands","North Pender"
"Strait of Georgia","Southern Gulf Islands","Salt Spring"
"Strait of Georgia","Southern Gulf Islands","Saturna"
"Strait of Georgia","Southern Gulf Islands","South Pender"
"Strait of Georgia","Southern Gulf Islands","Sydney"
"Strait of Georgia","Thormanby Islands","South Thormanby"
"Strait of Juan de Fuca",,"Discovery"
"Strait of Juan de Fuca",,"Mandarte"
"Strait of Juan de Fuca",,"Protection"
"Strait of Juan de Fuca",,"Smith"
"Strait of Juan de Fuca",,"Strongtide"
"Tasman Sea",,"Lord Howe"
"Tasman Sea",,"North Island"
"Tasman Sea",,"South Island"
"Tasman Sea","Tasmania","Bruny Island"
"Tasman Sea","Tasmania","Tasmania"
"Te Nggano","Rennell Islands","Rennell"
"Unalaska Bay","Fox Islands","Amaknak"
"Union Bay",,"Foster"
"Upper New York Harbor",,"Liberty"
"Willapa Bay",,"Long Island"
